sep=; 
EthoWatcher Open Source 
Observer
Lab
Experiment
Animal
Weight
sex
Treatment/condition
Other Info
WARNING: in this version, DECIMALS are separated by DOT(.) 
TRACKING - ACTIVITY REPORT
Registred video file are locate in C:/teste_ethowatcher/Lane maze w background femeas exemplo multiplas areas mosca 1 intrinsic noise camera virtual.vxml
Start in ;22.5;seconds ;675; frames 
End in ;56.9333;seconds ;1708; frames 
1 cm = ;108.805; pixeis
1 pixel= 8.447e-05cm2
Area Name ;Total Area
Figure Height; 480
Figure Width; 640






;;Number of pixels;Area (in cm2);Horizontal coordinate of the centroid;Vertical coordinate of the centroid;AA(in degrees);Height of the animal;Width of the animal;Object Detected;Distance travelled by the centroid;Distance travelled by the centroid;Variation of Area (from the former frame);Variation of Height of animal (from the former frame);Variation of width of animal (from the former frame);Variation of Angule of animal;Intrinsic noise (minimum variation distance traveled by the centroid)
frames;second;of the animal's body;of the animal's body;(in pixels, from0 to 640 );(in pixels, from 0 to 480 );Angle between animal and Horizontal coordinate ;in cm;in cm;true or false;(in pixels);(in cm);in cm2;in cm;in cm;in degrees;true or false
753;25.1;154.5;0.0130506;222.869;23.972;0;0.0827168;0.211387;true;16.5464;0.152074;0.00042235;0.00562847;-0.00155959;4.76364;false;
754;25.1333;154.5;0.0130506;222.869;23.972;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
755;25.1667;154.5;0.0130506;222.869;23.972;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
756;25.2;162.5;0.0137264;235.507;24.119;0;0.0827168;0.211387;true;12.638;0.116153;0.00067576;0;0;0;false;
757;25.2333;162.5;0.0137264;235.507;24.119;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
758;25.2667;162.5;0.0137264;235.507;24.119;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
759;25.3;170.5;0.0144021;247.346;22.9228;0;0.0827168;0.220578;true;11.8996;0.109366;0.00067576;0;0.00919075;0;false;
760;25.3333;170.5;0.0144021;247.346;22.9228;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
761;25.3667;170.5;0.0144021;247.346;22.9228;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
762;25.4;170.5;0.0144021;247.346;22.9228;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
763;25.4333;170.5;0.0144021;247.346;22.9228;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
764;25.4667;167;0.0141065;260.802;23.5429;0;0.0827168;0.220578;true;13.4706;0.123805;-0.000295645;0;0;0;false;
765;25.5;167;0.0141065;260.802;23.5429;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
766;25.5333;167;0.0141065;260.802;23.5429;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
767;25.5667;159.5;0.013473;274.92;23.6938;0;0.0827168;0.211387;true;14.1179;0.129754;-0.000633525;0;-0.00919075;0;false;
768;25.6;159.5;0.013473;274.92;23.6938;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
769;25.6333;159.5;0.013473;274.92;23.6938;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
770;25.6667;159.5;0.013473;274.92;23.6938;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
771;25.7;160;0.0135152;287.733;23.6729;0;0.0827168;0.220578;true;12.8138;0.117768;4.2235e-05;0;0.00919075;0;false;
772;25.7333;160;0.0135152;287.733;23.6729;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
